9,11,10,6,11,0.3799219
9,11,10.5,6,11,0.3631389
9,11,10.5,5.5,11,0.3730424
9,11,11,5.5,11,0.3641759
9.5,11,11,5.5,11,0.3755262
9.5,10.5,11,5.5,11,0.3693524
9.5,10.5,11,5,11,0.3606258
9,10.5,11,5,11,0.3079082
9.5,10.5,11,5,11,0.3730049
9.5,10.5,10.5,5,11,0.3764637
9,10.5,10.5,5,11,0.3140586
9,10.5,10.5,5,10.5,0.3766516
9,10.5,10.5,5.5,10.5,0.3769704
9,10.5,10.5,5.5,10,0.4309209
9,10.5,11,5.5,10,0.4822169
9,10.5,11,6,10,0.4203414
9,10.5,11,6.5,10,0.3120397
9,10,11,6.5,10,0.3661377
9,10,11.5,6.5,10,0.3099166
9,10,12,6.5,10,0.2558427
9,9.5,12,6.5,10,0.3245188
9.5,9.5,12,6.5,10,0.3206247
9.5,9,12,6.5,10,0.4253378
9.5,9,12,6.5,9.5,0.3811507
9.5,9,12,7,9.5,0.3185637
9.5,9,12,7,9,0.3816786
10,9,12,7,9,0.3799702
10,9,12.5,7,9,0.3801599
10,9.5,12.5,7,9,0.3245358
9.5,9.5,12.5,7,9,0.3773319
9.5,9.5,12.5,7,8.5,0.3745214
9.5,10,12.5,7,8.5,0.3657757
9,10,12.5,7,8.5,0.326474
9,10,12.5,6.5,8.5,0.371983
9.5,10,12.5,6.5,8.5,0.3271669
9.5,9.5,12.5,6.5,8.5,0.3514821
9.5,9.5,13,6.5,8.5,0.3719063
9,9.5,13,6.5,8.5,0.3795786
9,9.5,13.5,6.5,8.5,0.3707705
9,9.5,13.5,6,8.5,0.3786947
8.5,9.5,13.5,6,8.5,0.3825639
8.5,9.5,13.5,6.5,8.5,0.3245133
8.5,9.5,13.5,7,8.5,0.4282992
9,9.5,13.5,7,8.5,0.3735295
9,9.5,13.5,7.5,8.5,0.37225
8.5,9.5,13.5,7.5,8.5,0.3788222
8.5,9.5,13.5,7,8.5,0.3791174
8,9.5,13.5,7,8.5,0.3751513
8,9,13.5,7,8.5,0.3740017
8,9,13.5,7,8,0.319614
8,9,13.5,7,7.5,0.3080398
8,9.5,13.5,7,7.5,0.4384635
8,9,13.5,7,7.5,0.318646
8,9,14,7,7.5,0.3635139
8,9,13.5,7,7.5,0.4264569
8,9,13.5,7,7,0.3258276
8,9,14,7,7,0.3774424
7.5,9,14,7,7,0.3698638
7.5,9,14,6.5,7,0.3845136
7,9,14,6.5,7,0.3088229
7,9,14,7,7,0.3833095
7,9,13.5,7,7,0.3082838
7,9,13.5,6.5,7,0.3761089
6.5,9,13.5,6.5,7,0.3695628
7,9,13.5,6.5,7,0.3817751
7,9,13.5,6,7,0.3842416
7.5,9,13.5,6,7,0.3769619
7.5,8.5,13.5,6,7,0.3830583
8,8.5,13.5,6,7,0.3665458
8,8.5,13.5,5.5,7,0.4343747
8,8.5,13.5,5.5,6.5,0.3746985
8,8.5,13,5.5,6.5,0.3678417
8,8.5,12.5,5.5,6.5,0.3728502
8,9,12.5,5.5,6.5,0.3777203
8,9,12.5,5.5,6,0.3799386
8.5,9,12.5,5.5,6,0.3694762
8.5,9,13,5.5,6,0.4787548
8.5,9,13,5.5,5.5,0.3130749
8.5,9,13,6,5.5,0.3868177
8,9,13,6,5.5,0.3146262
8.5,9,13,6,5.5,0.3157431
8.5,9,12.5,6,5.5,0.4281281
8.5,9,12.5,5.5,5.5,0.369473
8.5,9,13,5.5,5.5,0.3806175
8.5,9,13,5.5,5,0.4310585
8.5,9.5,13,5.5,5,0.3188339
8.5,9.5,13.5,5.5,5,0.3174261
8.5,9.5,13.5,5.5,5.5,0.3281852
8.5,9,13.5,5.5,5.5,0.3180174
8.5,9,13.5,5,5.5,0.3080484
8.5,9,13.5,5,6,0.320657
8.5,9,13.5,5,6.5,0.3775658
8.5,9.5,13.5,5,6.5,0.3796871
8.5,9.5,13.5,5,7,0.3145358
8.5,9.5,13.5,5.5,7,0.4309102
8.5,9.5,13,5.5,7,0.3674219
8.5,10,13,5.5,7,0.4316216
8,10,13,5.5,7,0.3094097
8,10.5,13,5.5,7,0.3581614
8,10.5,13,5.5,6.5,0.3790098
7.5,10.5,13,5.5,6.5,0.3652921
7.5,10.5,13.5,5.5,6.5,0.3742373
7.5,10.5,13.5,5,6.5,0.3214009
7.5,11,13.5,5,6.5,0.3792097
7.5,11,13.5,4.5,6.5,0.3741802
7.5,11,13.5,5,6.5,0.3179885
7.5,11.5,13.5,5,6.5,0.3732249
7.5,11.5,14,5,6.5,0.3814081
7.5,11,14,5,6.5,0.3168286
7.5,11,14,5.5,6.5,0.3755479
7.5,11,14,5.5,6,0.371868
7.5,11,13.5,5.5,6,0.4216577
7.5,11,13.5,5.5,6.5,0.3034765
7.5,11,13,5.5,6.5,0.3708081
7.5,11,13,5.5,6,0.375834
7.5,11,13.5,5.5,6,0.4368265
7.5,11,13.5,5.5,5.5,0.3724885
7.5,11.5,13.5,5.5,5.5,0.3063714
7.5,11,13.5,5.5,5.5,0.3774808
7.5,10.5,13.5,5.5,5.5,0.372225
7.5,10.5,13.5,5,5.5,0.3808396
7.5,10.5,13.5,5,6,0.3824281
8,10.5,13.5,5,6,0.3786409
8,10.5,14,5,6,0.37342
8,10.5,14,5,6.5,0.3806312
7.5,10.5,14,5,6.5,0.3249838
8,10.5,14,5,6.5,0.3724563
8,10.5,14,5,6,0.3753468
8,11,14,5,6,0.3058822
8,11,14,5,6.5,0.383675
8.5,11,14,5,6.5,0.3173121
8.5,11,13.5,5,6.5,0.3112057
9,11,13.5,5,6.5,0.369302
9,11,13,5,6.5,0.3734734
9,11.5,13,5,6.5,0.3114149
9,11.5,13,5.5,6.5,0.3747601
9,11,13,5.5,6.5,0.3121584
9,11,13,5.5,6,0.3695373
9,11,13,5.5,5.5,0.3826166
9,11,13,6,5.5,0.3756048
9,11.5,13,6,5.5,0.3831064
9.5,11.5,13,6,5.5,0.3849511
9.5,11.5,13.5,6,5.5,0.3662355
9.5,11.5,13.5,6,5,0.3632718
9,11.5,13.5,6,5,0.3649783
9,11,13.5,6,5,0.4209919
9.5,11,13.5,6,5,0.3569967
9.5,11,13.5,6.5,5,0.3037236
9,11,13.5,6.5,5,0.3123907
8.5,11,13.5,6.5,5,0.3005307
8.5,11,13.5,6.5,5.5,0.375817
8.5,11.5,13.5,6.5,5.5,0.3182706
8.5,11.5,13.5,7,5.5,0.3725585
8.5,11,13.5,7,5.5,0.317635
9,11,13.5,7,5.5,0.3805287
9,10.5,13.5,7,5.5,0.3781765
9.5,10.5,13.5,7,5.5,0.3077338
9.5,10.5,14,7,5.5,0.3715495
10,10.5,14,7,5.5,0.3815917
10,11,14,7,5.5,0.3722025
10,11,13.5,7,5.5,0.3748428
10.5,11,13.5,7,5.5,0.3137055
10.5,11,13.5,6.5,5.5,0.3698522
10.5,11,13.5,6.5,6,0.3804254
10.5,11.5,13.5,6.5,6,0.4179702
10.5,12,13.5,6.5,6,0.3130805
10.5,12,13.5,6.5,6.5,0.4174799
10.5,12.5,13.5,6.5,6.5,0.3174763
10.5,12.5,13.5,6,6.5,0.3846931
10.5,12.5,13.5,6,7,0.3762997
10.5,12.5,13.5,6,6.5,0.3233424
10,12.5,13.5,6,6.5,0.3634785
10,12,13.5,6,6.5,0.3180393
10,12,13.5,6,7,0.341261
10,12,13,6,7,0.4253128
10,12,12.5,6,7,0.3673739
10,12,12.5,5.5,7,0.374664
10,11.5,12.5,5.5,7,0.3064321
10,11.5,13,5.5,7,0.3724413
10,11.5,13,6,7,0.4237066
10,11.5,13,6.5,7,0.3759958
9.5,11.5,13,6.5,7,0.3096845
9.5,11.5,13.5,6.5,7,0.3077469
9.5,11,13.5,6.5,7,0.3172424
9.5,10.5,13.5,6.5,7,0.3739888
9.5,10.5,14,6.5,7,0.3686567
9,10.5,14,6.5,7,0.3604849
9,10.5,14.5,6.5,7,0.3116936
9,10.5,14.5,7,7,0.3778093
8.5,10.5,14.5,7,7,0.379756
8,10.5,14.5,7,7,0.3730198
8,11,14.5,7,7,0.3120624
8,11,14.5,7,6.5,0.3119445
8,11,14,7,6.5,0.3162647
7.5,11,14,7,6.5,0.3698728
7.5,11.5,14,7,6.5,0.3657416
7.5,11.5,14.5,7,6.5,0.3726006
7.5,11.5,14.5,7,6,0.4240144
7,11.5,14.5,7,6,0.3173249
7,11.5,14.5,6.5,6,0.2923528
14,2,14,19,0,0.3794785
14,2,14.5,19,0,0.3716972
14,2.5,14.5,19,0,0.3267737
14,3,14.5,19,0,0.3536533
13.5,3,14.5,19,0,0.3039349
13.5,3.5,14.5,19,0,0.3063685
13.5,4,14.5,19,0,0.310345
13.5,4,14.5,18.5,0,0.3177322
13.5,4,15,18.5,0,0.3690673
13.5,4,15.5,18.5,0,0.2996287
13.5,4,16,18.5,0,0.3187128
13.5,4,15.5,18.5,0,0.3539623
13.5,4,15.5,19,0,0.3050585
13.5,4,16,19,0,0.3594009
13.5,4,16,19,0.5,0.2968213
13.5,4,16,19.5,0.5,0.3745368
13.5,3.5,16,19.5,0.5,0.3772652
14,3.5,16,19.5,0.5,0.3037134
14,3.5,15.5,19.5,0.5,0.2636034
14,3.5,15.5,19,0.5,0.3725029
13.5,3.5,15.5,19,0.5,0.2959619
13.5,3.5,15,19,0.5,0.2905628
13,3.5,15,19,0.5,0.3561697
12.5,3.5,15,19,0.5,0.3138197
12.5,4,15,19,0.5,0.3187985
12.5,4,15,18.5,0.5,0.2287373
12.5,4,15,18,0.5,0.3726633
12.5,4.5,15,18,0.5,0.3094018
12,4.5,15,18,0.5,0.359901
12,4.5,14.5,18,0.5,0.3136557
12,5,14.5,18,0.5,0.3022294
12,5.5,14.5,18,0.5,0.3721813
12,5.5,14.5,18.5,0.5,0.372628
12,5.5,15,18.5,0.5,0.2649174
12,6,15,18.5,0.5,0.3046833
12,6,15,19,0.5,0.31082
12,6,15,18.5,0.5,0.3201828
12,6,15,18,0.5,0.3041603
12,6,15.5,18,0.5,0.3060729
12,6,15.5,18.5,0.5,0.3046173
12,6,15.5,19,0.5,0.2931075
12,6,15.5,18.5,0.5,0.3740727
11.5,6,15.5,18.5,0.5,0.352226
11.5,6,16,18.5,0.5,0.3604071
